1e763hf4,19,8
7dfj33,32,19
3b827e73,16,10
1i8fi0g,33,14
15742420360,8,33
370g9g,24,6
2dh930a,20,29
2ml74a3,28,12
13bg8g6f,18,13
384c3dk,28,29
7ic6a35,23,-24
134c080,25,11
9a6794a9,15,24
9jjj9e6,20,37
7bi6ikg,22,4
1q9fcp7,27,6
12adg5gf,18,22
331104110414,5,15
22836128,15,2
13cd49y,35,32
1iqta4f,32,14
11020220220102112222,3,34
lraas2,32,14
984573299,11,34
2pr882d,30,9
5en6459,26,11
110520053400,6,7
11uyqrf,34,17
a194adda,14,18
98dhg1i,20,14
ooglm7,28,8
522523034254,6,4
102255121544,7,24
103554532351,7,5
qqi8pa,34,29
ns0y4s,35,34
1fqp7kf,29,22
b1a306i,20,26
1459i1b7,19,20
1648276721,0,3
48bb80177,12,4
13b421c08,13,11
1772964a,0,28
kh14l4,30,26
2c849800,14,19
73bf559,24,35
462e6c0,25,21
1k2457m,26,27
1000110001110110101110110110,2,23
7217399a9,11,17
1783665423,10,7
c2g1na,30,10
rc04ei,31,4
36041552605,7,13
586445281,9,2
3lm0b68,27,30
1202210000021021,3,24
20371081a,11,27
16264716765,8,20
111100001100011100101011110101,2,14
r8e24m,32,36
10112212100211210021,3,24
smc1pi,35,12
nmqii6,30,24
10fa96ic,19,34
212222101120112112,0,19
lek36p,29,13
16743142311,8,5
1736004020,9,30
110101010101000000100000011000,2,35
14fii5ei,20,10
49b5715,22,5
gfglb1,35,5
68459a26,15,33
934437501,10,12
3bhlm1e,28,9
hhf4g3g,22,30
f42fcb,19,35
e2d39bc,20,10
cfkbjij,23,26
8tytqb,36,10
1keg6ms,30,31
453555320153,6,22
47041ie,19,28
echekh3,22,24
1011101110011000000111111000111,2,34
2fjegg9,22,5
ckkdsj,29,16
icba9g3,20,2
2834085675,9,5
115c46b14,14,21
1971042348,10,22
3c9q136,28,14
17241435172,8,3
74lm0h,28,31
swa7h9,35,13
33epi12,28,-7
14o8pk2,35,21
292d93a,28,14
hdh1ek,21,33
1213331230344,5,-14
139231ab8,14,18
362gee9,28,14
1fek1bn,29,3
13226302026,7,5
19fbpuj,30,30
32klc6n,26,28
8nv5md,35,-36
aknff4j,24,22
11433021344431,5,27
1043458574,9,14
494.82555,12,36
5c99mi8,27,12
321b69466,12,17
1100101000101001110100010111000,2,26
220352143210,6,32
63j12a,31,23
ewtgh9,34,27
bgj5b53,22,17
623a686a,15,29
15157354612,8,36
4aa1db7c,16,36
t4orbm,32,12
64c1bk6,24,30
1011200111210002022,3,10
2002040434042,5,18
5ckf2c4,0,34
bc50a9a,16,10
4023732038,9,7
3i306je,24,37
4mc9igh,24,2
3g18jmb,0,9
1f4n2hg,24,35
xo8009,34,31
kk4yg4,35,17
ouelkc,33,18
h549lah,0,5
582914441,11,33
3602564,16,35
943357748,11,23
983a96400,11,22
7cc36a,19,9
35013602626,7,33
gbbo6a,36,28
1323133313102220,4,8
5bijih8,27,21
40g3889,17,26
12320441342412,5,21
a639857b,15,18
32eb4a51,18,33
17kdt79,34,-9
3f1j1k,30,3
1mhglpa,28,32
jzv312,35,10
1kq8ob2,30,26
7494ck3,22,9
2e8jii9,19,6
243859057,10,4
10011010011011110011111010001,2,23
2g8b0bbb,18,13
17a074ca3,13,16
6ad8fcn,26,35
4161050751,8,21
453251201541,6,36
d8f27e1,21,28
s7qwrd,35,10
heb12fk,21,8
17373621277,8,32
2mqfb8,32,23
652120343,11,9
17su409,31,4
1a7293906,13,32
52201012444220,5,11
10322041312304,5,-19
1fe8527b,18,14
2k1.0oj,25,29
121530832,11,14
1qf73ll,31,5
110100111010001100110000010100,2,9
254141231510,6,4
65og6h,36,32
43625023653,7,27
310202231233210,4,19
1p5tmb6,31,33
2f5fl0e,26,27
1hothq1,33,12
pev8fk,34,4
315894594,10,35
4b6j9k,27,19
2a7e4ge,20,26
ihed1ic,20,15
72774bc8,14,16
7vac16,32,34
865270809,10,25
4n7fjph,26,17
1077327276,8,25
a8307592,11,27
.001232000314,5,12
2261aa57,16,19
15045610312,8,19
1ba76a392,12,13
2sl2b2q,29,4
13d64d02,15,5
143d868bb,14,37
184jb4d,23,16
ie2g4h,21,4
qgq2w7,35,11
6u24s2,33,10
21363ci,29,15
4e318g9d,17,34
3xy0bc,36,34
1v1l7f1,32,33
bewfo0,35,27
11197aa49,11,14
2015a7dd,16,8
2ed4a761,18,36
1mpbdlk,32,13
39396f4a,16,26
3ab37623,17,6
e06961b1,14,29
34030045554,7,25
18gb53g5,17,-25
2044324401221,5,7
152gg3e,17,32
14c70c0a6,13,6
210013130210131,4,32
51c51461,13,5
7a871b6e,15,29
qo2rm,30,13
11120211110012102100,3,7
62033353530,7,16
d884b1h,19,3
46d67b7,25,11
b0c3bcd,22,32
a3560055,15,6
52ea683,25,33
1202220012001222111,3,23
kde0mj,26,11
604a6630,13,3
653a74676,11,14
i6o4t1,32,16
200212211210120011,3,20
5185632383,9,14
11222121012220011012,3,9
6754630,21,11
23d6t5s,31,5
1brfoj6,29,21
2cnf671,28,17
cd436h,18,31
9nszbm,36,27
2806140060,9,10
pii31p,31,22
7dwiqm,33,32
551051410210,6,-29
fdka053,21,14
hmui7t,32,8
449c781e,17,16
1080efd,32,11
